客户编号,客户姓名,证件类型,证件号码,出生日期,客户性别,婚姻状况,教育程度,客户职业,联系电话,电子邮件,居住状态,居住地址,银行卡号,开户银行,卡种代码,卡种名称,创建机构,创建柜员,创建日期,创建时间
271494831140,常小杰,0,220781197306169271,1973-06-16,0,1,3,7,18377848965,1pXqke4N2@yeah.net,4,四川省攀枝花市小康路3245号,6253367020395905,中国农业银行,2,贷记卡,27146628,8249,2014-02-24,10:43:49
061489704266,谢炳,0,371622199403279795,1994-03-27,0,2,4,5,18837703021,9TVE-KOx_@me.com,1,安徽省黄山市华城路799号,6259220580942943,中国工商银行河内分行,2,贷记卡,06146657,3115,2014-10-14,19:22:53
202058227301,屈跃,0,360830199405289266,1994-05-28,1,2,1,3,13359284042,PvL274Gz@tom.com,1,广东省韶关市体育广场2917号,6223923897496722021,泸州市商业银行,1,借记卡,20205471,4670,2014-07-16,02:36:47
271377501197,孙蓉,0,433126196402264113,1964-02-26,0,1,2,5,18057422787,2nSxPI@126.com,3,山西省长治市鼓楼南大街5号,6229362678782268118,承德市商业银行,1,借记卡,27134379,1390,2015-11-27,23:30:39
050896042109,喻婷,0,653226198103138032,1981-03-13,0,2,4,4,19138691352,qg2ujdb0_U@163.com,3,山东省枣庄市滨海卫682号,6223190277100811,青岛农信,1,借记卡,05080088,6844,2010-09-07,21:38:04
120722382503,邵永常,0,330602198105164713,1981-05-16,0,1,2,5,18054502632,y9JDjMOP@me.com,0,山西省太原市民航路583号,6214823838852813137,成都银行,1,借记卡,12076662,7204,2012-04-06,06:01:14
270484114933,何园,0,510182198912109153,1989-12-10,0,0,1,5,13172017924,vtq5Uc9@sian.com.cn,2,甘肃省酒泉市海天路2329号,621307662490189693,中国工商银行,1,借记卡,27045380,1586,2011-10-09,20:08:11
111025947396,鲁道远,0,620523199309014426,1993-09-01,1,0,0,0,13843192313,n_kC3yBVr7@shouji.163.com,2,安徽省巢湖市康城街95号,6233086602321946163,南洋商业银行,1,借记卡,11100838,8613,2017-05-23,13:06:50
190221455116,柏晓清,0,623025196106152567,1961-06-15,1,0,0,3,13107777982,yMFyWiY@163.com,4,广东省揭阳市东二旗519号,6214865728465597,招商银行,1,借记卡,19023254,6675,2017-02-16,14:33:11
270950397938,汪小计,0,371724197004167905,1970-04-16,1,0,2,5,18054821915,WFw7UN@21cn.com,2,安徽省阜阳市归化路84号,6214671420378149024,中国建设银行,1,借记卡,27097701,0899,2017-05-25,11:57:51
140687550394,狄小亮,0,469002196808298115,1968-08-29,0,1,1,5,18980450126,tgJO9T@gmail.com,0,广东省阳江市解放西路9号,6283312574891325,信阳银行,2,贷记卡,14065843,6450,2013-02-24,18:42:50
160925648760,康跃,0,621221198904304310,1989-04-30,0,1,2,1,16707568354,LWmriCE@outlook.com,4,陕西省安康市滨海卫6号,6223093370167882106,浙商银行绍兴分行,1,借记卡,16097498,8658,2014-06-28,03:14:02
301716917770,庞光北,0,45110119911102330X,1991-11-02,1,0,4,1,19938181653,zxcvMjNp@outlook.com,0,湖南省怀化市工人大道8号,6226386890145095,华夏银行,2,贷记卡,30174301,5150,2016-05-29,15:52:05
120934754319,郑海涛,0,140929197903021713,1979-03-02,0,1,3,4,18040619118,W_CmROr4@vip.sohu.com,2,吉林省松原市安城街74号,6216668805633721890,中国银行,1,借记卡,12097883,3882,2013-12-19,04:40:42
050623255936,朱超,0,411624196511273982,1965-11-27,1,0,2,4,18888912167,O672uivR@tom.com,3,新疆维吾尔自治区马兰市幸福大街1639号,6282624649937722,招商银行,2,贷记卡,05061121,0988,2015-02-25,16:39:23
160237314413,戴有德,0,410724198011052475,1980-11-05,0,2,2,0,13881384618,8Gdf6DA@qq.com,4,新疆维吾尔自治区马兰市迎泽大街5766号,6223234228338811216,常熟农村商业银行,1,借记卡,16029583,6843,2013-05-21,06:03:43
030239339812,邵鹏,0,652702197304274015,1973-04-27,0,0,4,0,14531421536,6miSqFL@sohu.com,4,河南省开封市解放东路757号,5488448849218806,广发银行,2,贷记卡,03022272,2688,2011-10-26,16:23:05
141050989232,谢嵘,0,330122197211109236,1972-11-10,0,0,3,3,13887861501,VHo1W_6FEf@126.com,1,湖南省岳阳市中山大道962号,6214656192819967,重庆农村商业银行,1,借记卡,14103529,5230,2017-01-31,08:24:46
360217135233,傅家宁,0,410323196506287921,1965-06-28,1,0,3,4,18543793154,DZd902@shouji.163.com,0,福建省厦门市黄河路72号,6282223142471451,上海浦东发展银行,2,贷记卡,36026490,1823,2015-10-17,12:45:22
051276531048,方彤,0,420107199806292700,1998-06-29,1,2,3,0,13771340489,V-A_GY8S@outlook.com,2,新疆维吾尔自治区乌鲁木齐市贡院街95号,6212685190466549,渤海银行,1,借记卡,05125275,3105,2012-07-11,02:44:22
200245298436,曹小敏,0,440701196202156243,1962-02-15,1,2,1,2,15693189678,pgJ6gN7M2O@gmail.com,1,贵州省铜仁市秦蜀路3667号,6259988994899525,中国农业银行,2,贷记卡,20027130,6169,2016-01-26,11:15:02
231718326968,狄庄,0,441823198905018510,1989-05-01,0,1,1,7,13234944881,sH69S5Bz9@me.com,3,黑龙江省绥化市鼓楼北大街94号,6250589805144314,南洋商业银行,2,贷记卡,23178216,7563,2016-01-13,16:57:09
270806389764,俞晓燕,0,130983197802214272,1978-02-21,0,1,4,4,18293757763,Neso38WL@qq.com,4,甘肃省临夏市迎泽大街7852号,6200943012051492,中国工商银行新加坡分行,4,预付费卡,27086943,8014,2015-01-21,23:12:43
161166425963,姜小海,0,150922196104083021,1961-04-08,1,1,3,2,16642234217,Ykh561DZd@chinaren.com,0,湖北省咸宁市人民西路68号,6245180498008871,中国工商银行,2,贷记卡,16114356,5391,2016-05-04,14:26:28
191114177867,孙亚军,0,52032719680611787X,1968-06-11,0,0,0,6,17336729115,1j6ODCCET9@126.com,1,新疆维吾尔自治区乌鲁木齐市向阳路3231号,6250844444905868,兴业银行,2,贷记卡,19111014,2572,2010-09-20,15:59:12
161668589204,施刚,0,610627199612297202,1996-12-29,1,1,3,6,15705556702,K61NkrtOO@263.net,4,四川省凉山市市府路7号,6224350624013522316,澳门国际银行,1,借记卡,16167814,3912,2013-12-05,13:58:55
150689800935,屈仪,0,640181197206079960,1972-06-07,1,0,3,1,13176420073,uM5xuJo@189.cn,0,江苏省淮安市王府大街137号,6282103561480060,江苏银行,2,贷记卡,15066837,7536,2016-08-24,15:08:51
151111665301,康小非,0,511502199104211615,1991-04-21,0,2,1,3,18617529736,2qpD4Rkc@gmail.com,2,甘肃省白银市秦蜀路2号,6215334010279366904,内蒙古自治区农村信用社联合社,1,借记卡,15119700,2123,2012-07-03,01:32:45
141041772755,汤旭日,0,520122196507242272,1965-07-24,0,0,1,5,18345226308,01wygA@wo.com.cn,3,江苏省南京市马列大道43号,6212016335564107,韩亚银行(中国),1,借记卡,14107843,6242,2015-05-25,16:23:22
080717103395,柏永丽,0,330106196102064257,1961-02-06,0,1,1,0,13242795454,6ZP_5t4SY4@me.com,4,广东省肇庆市体育广场1289号,6282590720476437,广发银行,2,贷记卡,08073447,5108,2011-12-03,00:15:09
220140333547,汤小山,0,360401197002282462,1970-02-28,1,0,2,3,17161401986,ns65pMVcV@21cn.com,3,河北省衡水市马列大道573号,6230246431595329,新韩卡公司,1,借记卡,22015249,5490,2017-02-12,07:04:43
270710358687,史素,0,371622197804271226,1978-04-27,1,0,0,3,17170665360,mniz-gf@wo.com.cn,2,辽宁省铁岭市康城街7号,6216820038719583324,深圳光明沪农商村镇银行,1,借记卡,27073579,5099,2014-08-01,14:49:42
171324587906,邵晓峰,0,621026197403302030,1974-03-30,0,2,3,0,14519792946,GHy4U62f@vip.sohu.com,1,河北省衡水市康城街945号,62234049939685835,徽商银行淮北分行,1,借记卡,17138074,8370,2014-01-10,16:53:59
041016507600,谢新红,0,530101198603221606,1986-03-22,1,2,1,3,17698801122,b5mtkN@sohu.com,2,湖北省荆州市幸福大街2474号,6226233594797088,民生银行,2,贷记卡,04102031,8274,2017-05-28,14:41:43
420084787498,邹亚军,0,341204199801095270,1998-01-09,0,1,4,0,19870154007,ptF6RGh@aliyun.com,4,内蒙古自治区赤峰市嵩阳街3号,6250278086227598,BC卡公司,2,贷记卡,42009133,6021,2016-01-07,18:02:32
050652192297,卫婷婷,0,632223196210246677,1962-10-24,0,1,3,7,14614267788,uq3U6cL@shouji.163.com,3,湖南省怀化市东二旗8347号,6213500174518927877,海南保亭融兴村镇银行,1,借记卡,05064561,6502,2013-08-07,21:40:27
240586986913,曹大立,0,370911196510308478,1965-10-30,0,0,0,7,13994532793,5GI315@163.com,2,江西省萍乡市振兴路723号,9688080463495582,中信银行,1,借记卡,24058213,0048,2016-07-21,22:25:03
260952090097,孔珠,0,522634196911074439,1969-11-07,0,1,2,2,15682408390,92Wq_Xn1@gmail.com,4,福建省宁德市人民广场7号,6214345783208703,中国工商银行金边分行,1,借记卡,26094630,3687,2017-12-18,16:39:50
060491350512,葛冬,0,410324196403127243,1964-03-12,1,2,2,4,13524161896,3fTjLE-3Av@gmail.com,2,四川省成都市平安大道56号,6222008184752929594,中国工商银行,1,借记卡,06041442,5857,2017-12-08,12:34:08
181135055786,郑永仪,0,371081198612156081,1986-12-15,1,0,0,2,17172548275,THN-NPPH4Y@tom.com,4,新疆维吾尔自治区昌吉市鼓楼北大街9622号,6221580694190225,中国工商银行新加坡分行,2,贷记卡,18112998,4579,2016-11-29,09:57:12
181747152475,毕晓华,0,653024198607064301,1986-07-06,1,2,3,1,18552544617,RWfEJF@sian.com.cn,0,吉林省四平市鼓楼北大街5272号,6216760025072654331,湖北赤壁武弄商村镇银行,1,借记卡,18179473,1723,2012-01-28,05:36:20
110956532939,雷彤,0,141126199211218598,1992-11-21,0,0,0,1,18389424148,wfxsWtsC@gmail.com,3,四川省成都市体育广场6号,6210732252543762851,天津滨海农村商业银行,1,借记卡,11097077,4811,2013-06-24,02:00:24
200859305500,施红,0,420682198301047761,1983-01-04,1,1,4,7,18848660221,vpGqs4u0y_@outlook.com,4,甘肃省张掖市鼓楼南大街1495号,6223862229283404,上海银行,2,贷记卡,20083898,1792,2011-03-01,08:36:02
040219734032,施武,0,431021197108292821,1971-08-29,1,0,2,4,19907234061,SlxY-u4O5Y@21cn.com,3,四川省眉山市归化路5676号,621608342108608626,中国工商银行,1,借记卡,04023122,4760,2015-07-28,15:17:11
131113785854,狄建英,0,520628196204055416,1962-04-05,0,0,4,4,16640718475,ezATIDEJM@139.com,1,河南省开封市秦蜀路95号,6258277081497125,中国农业银行,2,贷记卡,13119213,0339,2017-08-24,02:07:56
190863426273,蒋有学,0,632622199510058125,1995-10-05,1,1,0,4,15192363072,PxnybOn6Ks@21cn.com,0,浙江省温州市幸福大街3748号,6011231586001393,Discover Financial Services.Inc,2,贷记卡,19082837,2672,2014-03-26,09:01:27
041217373153,尹成,0,371321196101097148,1961-01-09,1,2,2,3,16786518547,FWdGfiEW4@263.net,2,陕西省汉中市安城街18号,6225613913064544646,德阳银行,1,借记卡,04126986,2434,2017-04-02,19:39:09
320274088655,邹永辉,0,441801196402083110,1964-02-08,0,2,3,5,18936747452,tXoGAO@263.net,0,新疆维吾尔自治区和田市金融街758号,6011390658625289,Discover Financial Services.Inc,2,贷记卡,32025805,8755,2011-10-11,05:23:54
130972187183,施芬,0,510921197810085898,1978-10-08,0,1,0,2,15567704746,HCsDqKE@wo.com.cn,3,山西省临汾市迎泽大街554号,6213560162791205688,来安中银富登村镇银行,1,借记卡,13095348,0544,2010-03-31,08:52:39
260216118670,纪锋,0,520303197709262278,1977-09-26,0,2,2,6,17026497131,C-kV9RUe@shouji.163.com,2,山东省烟台市安城街4167号,8437361573738723,上海浦东发展银行,1,借记卡,26029647,5337,2017-12-06,05:27:38
120459920614,喻欣,0,330421199504022096,1995-04-02,0,2,0,2,17610198460,7-ZYWHKzf@263.net,2,新疆维吾尔自治区克拉玛依市迎泽大街4号,6216458062989188,巴基斯坦FAYSAL BANK,1,借记卡,12040590,4085,2014-09-28,16:47:10
260531021603,谢田,0,360825197808046947,1978-08-04,1,1,2,4,15772518447,ZFXpDjAdC@sohu.com,3,新疆维吾尔自治区克拉玛依市安城街2号,6215277309800100892,浙江省农村信用社联合社,1,借记卡,26058657,9481,2013-10-13,16:33:27
181070429670,常蔓,0,12011019960109795X,1996-01-09,0,2,0,6,14613982613,wfdtYXlrwA@126.com,1,四川省达州市站前街73号,624301360375708543,中国工商银行,1,借记卡,18108881,2518,2010-04-25,18:03:24
050263231449,祁小洋,0,230624196605092213,1966-05-09,0,2,0,4,19110024971,4KqWtZYllV@outlook.com,0,四川省雅安市人民西路71号,6282111225947853,上海农商银行,2,贷记卡,05029921,6859,2013-12-30,18:31:41
130295727042,朱帅,0,441523197210014889,1972-10-01,1,2,0,7,19869994845,oB466hIZ@126.com,4,吉林省吉林市体育广场2号,6213504313621954958,榆树融兴村镇银行,1,借记卡,13029819,8118,2013-12-14,03:47:43
060642945072,姜超,0,211021199611264755,1996-11-26,0,0,0,0,17335993859,WWUKKuR2n@chinamail.com,1,黑龙江省黑河市解放东路45号,6251430552489744,中国银行(国际),2,贷记卡,06069845,4016,2010-09-04,14:08:07
070921970464,顾生,0,431202198007264406,1980-07-26,1,1,2,2,14578844529,scEbqyV4N@tom.com,3,四川省雅安市黄河路3号,6216950111115344039,新密郑银村镇银行,1,借记卡,07096617,0997,2017-09-10,21:31:54
131499902214,东方妃,0,330481199203021651,1992-03-02,0,2,1,0,15693209501,VJ-1DHi8b_@tom.com,3,山东省淄博市白塔寺路575号,6011201328790462,Discover Financial Services.Inc,2,贷记卡,13142899,1977,2015-05-03,10:43:34
170557632827,于香,0,510725198007267115,1980-07-26,0,0,0,2,18073021004,zW7lj3mYnO@chinaren.com,0,四川省南充市幸福大街499号,6233134166774219,OJSC Hamkor BANK,1,借记卡,17057889,5343,2011-02-24,19:42:03
071203181705,禹春,0,320723198205233283,1982-05-23,1,2,2,1,14540216301,6cPgHo6C@21cn.com,4,河北省廊坊市康城街721号,5309700494517545,中国工商银行,2,贷记卡,07128329,6587,2012-03-23,18:06:03
040811027910,董鹏,0,350702198107169285,1981-07-16,1,2,0,5,17771238608,yWJG-12BqO@aliyun.com,2,新疆维吾尔自治区喀什市和平大道8817号,6200720045129669473,大丰银行,4,预付费卡,04087777,7916,2017-11-12,20:07:49
181897486918,许乔平,0,431227199112183861,1991-12-18,1,1,1,7,16730618335,KWosZfGVVO@126.com,3,新疆维吾尔自治区和田市振兴路2号,6282669223881101,中国建设银行,2,贷记卡,18183209,9909,2010-11-25,06:33:47
201246820356,郝光北,0,410503199910249256,1999-10-24,0,1,2,5,18944599379,WiVONXWw@vip.sohu.com,1,山西省大同市人民东路4号,6229807220670260874,玉溪市商业银行,1,借记卡,20121609,1233,2014-04-15,23:43:12
200836943489,毛东升,0,621123198001154793,1980-01-15,0,2,3,4,17830275220,hCpWRG@chinaren.com,4,湖南省湘潭市幸福大街116号,5184752910136202,中国银行,3,准贷记卡,20083947,2275,2016-06-13,18:29:05
240210788182,薛建国,0,640121198401291770,1984-01-29,0,0,2,5,18934253478,LGiDEfs1i@139.com,2,浙江省嘉兴市秦蜀路3号,6225809536700370,招商银行,1,借记卡,24026243,0473,2010-07-14,00:21:13
051131468819,孟原,0,410224198605181858,1986-05-18,0,2,1,4,13660188884,EqpRwDJ9@qq.com,3,湖南省娄底市秦蜀路9619号,9559731791047236522,中国农业银行,1,借记卡,05113516,8531,2015-04-05,05:50:09
150589873474,屈伦,0,210112196905162205,1969-05-16,1,2,0,7,18506401147,S_FDli@icloud.com,4,江苏省常州市体育广场2426号,6011012770717667,Discover Financial Services.Inc,2,贷记卡,15056740,1691,2015-10-12,09:50:19
070688997560,朱小丽,0,140723199205251618,1992-05-25,0,0,0,5,14731649864,5PfqGsO@126.com,0,甘肃省嘉峪关市教场路6号,6201141306769706135,中国工商银行法兰克福分行,4,预付费卡,07061098,6557,2016-01-08,18:21:11
350016191468,吴小历,0,440101198411109407,1984-11-10,1,2,0,7,15106889678,xlqTSqOCH@qq.com,0,四川省眉山市向阳路9号,6283066986254668,湖州银行,2,贷记卡,35007347,3202,2011-09-03,22:18:23
200288286788,史朝阳,0,653130197702271139,1977-02-27,0,0,1,6,15626569856,bM-FxNAfB@sohu.com,2,广东省东莞市流花西路8号,6222801936363773243,中国建设银行,1,借记卡,20023713,1497,2012-01-16,00:09:04
131056158617,邹声,0,341182198408138712,1984-08-13,0,2,2,3,14516955981,lCR544WIu@aliyun.com,0,云南省德宏市东二旗93号,620302432376498338,中国工商银行,1,借记卡,13100795,3554,2010-09-29,00:31:57
251492484474,伍建国,0,520122196202037809,1962-02-03,1,2,1,2,15398845817,9V2zKdG2@outlook.com,4,云南省临沧市中大街1867号,4213938085434666,民生银行,1,借记卡,25145600,6219,2017-06-03,08:11:15
090770473722,倪晓霞,0,500106197204061723,1972-04-06,1,1,3,5,18856709456,K4cfhS2IqZ@126.com,0,陕西省榆林市工人大道424号,6229222114229018,兴业银行,2,贷记卡,09076914,9446,2010-01-16,05:31:53
080614686842,魏珠,0,511825196006267742,1960-06-26,1,2,4,3,18356311912,nFFJNxOA@189.cn,2,黑龙江省齐齐哈尔市金融街49号,5176508849492821,上海浦东发展银行,2,贷记卡,08067912,4465,2012-08-26,07:27:58
180984142783,柏安家,0,610622198905132827,1989-05-13,1,1,3,5,15982718191,J67L9erNU@chinaren.com,4,安徽省宿州市站前街6号,62225895128714039,交通银行,1,借记卡,18098489,1045,2015-06-28,14:23:42
300555298993,赵晓亮,0,411103197408291221,1974-08-29,1,0,4,0,16759739365,w0_fG-AW@shouji.163.com,2,广东省阳江市小康路573号,6226361368835758,华夏银行,2,贷记卡,30056163,9049,2012-12-30,14:25:27
170803724380,方晓敏,0,360802199603043712,1996-03-04,0,0,3,7,15639551204,5c8NzWbzMS@vip.sina.com,1,山东省泰安市人民西路526号,6210591334506582,句容茅山村镇银行,1,借记卡,17088476,8373,2016-05-27,08:06:54
131601641663,穆保国,0,230405199807235212,1998-07-23,0,1,2,6,14819182383,0HAybP@wo.com.cn,0,广东省茂名市府右街62号,6231967117591912777,泰安市商业银行,1,借记卡,13165261,3310,2017-01-02,00:43:32
150555590710,谢小义,0,15060119700501289X,1970-05-01,0,1,0,0,13062222475,wY99n2t6@chinaren.com,4,陕西省铜川市中大街4576号,8705038415379396,上海浦东发展银行,1,借记卡,15050291,6575,2011-04-26,15:14:47
200245573915,宋风,0,150102197502036146,1975-02-03,1,2,0,7,15836445733,F5f8Ooxk@139.com,3,安徽省池州市马列大道4号,6250317891309215,BC卡公司,2,贷记卡,20024301,4941,2014-03-27,11:10:04
080905731029,周小石,0,341182197309037225,1973-09-03,1,0,1,0,15234994675,0x5WF4x@icloud.com,2,甘肃省武威市安城街675号,6216821022532950968,济南槐荫沪农商村镇银行,1,借记卡,08096494,8238,2010-07-12,10:15:03
140513795068,余建州,0,370703198212091213,1982-12-09,0,2,0,4,18090447261,L5kB3WZ@me.com,0,新疆维吾尔自治区石河子市正阳路3号,6259131814940480,民生银行,2,贷记卡,14059891,6374,2011-07-10,18:56:32
201465197697,方小雪,0,445101198603242637,1986-03-24,0,2,3,3,14730357000,ULmziV@outlook.com,2,云南省临沧市大中里9号,6230668591949907834,江苏省农村信用社联合社,1,借记卡,20141096,3155,2013-11-10,18:39:14
300347877930,施玉琼,0,150403196712223730,1967-12-22,0,0,0,7,18313457816,eVJ2nPdcxE@vip.sohu.com,0,四川省眉山市王府大街848号,6282827715378818,长沙银行,2,贷记卡,30034986,3843,2013-04-08,04:32:29
010277871772,熊蕊,0,610527198909294707,1989-09-29,1,1,2,4,17586575958,1WAKR3ZKx@vip.sohu.com,4,湖南省常德市嵩阳街8929号,9400460219388214985,秦皇岛银行,1,借记卡,01024766,5246,2017-06-04,04:14:44
061485008713,傅晓珍,0,431225199507099880,1995-07-09,1,0,4,3,14611045705,2qyCSzA@gmail.com,2,吉林省松原市振兴路2633号,6282421031851086,南京银行,2,贷记卡,06142493,6774,2012-11-28,23:58:19
040286872462,唐苛,0,130684197102166476,1971-02-16,0,1,1,6,16611278440,SBG5Vt32Ky@vip.sohu.com,1,深圳市福田区教场路7413号,609120113124322748,天津市商业银行,1,借记卡,04023417,0040,2013-09-17,10:42:46
071480781071,皇甫尼,0,320924197805024445,1978-05-02,1,2,3,6,18821844892,VhEmnts_@chinaren.com,2,安徽省铜陵市和平大道37号,6282488182510589,吴江农商行,2,贷记卡,07142051,5556,2011-08-06,14:24:16
210519231887,禹丰,0,211322197806221176,1978-06-22,0,0,0,0,17600515719,ZEyTgIe@21cn.com,4,新疆维吾尔自治区塔城市上海道6956号,6216823066610719272,蒙自沪农商村镇银行,1,借记卡,21051441,2654,2011-05-20,02:17:59
110924123270,吕建川,0,211382198101224167,1981-01-22,1,2,3,2,16686389934,CD8JIb@chinamail.com,2,黑龙江省大兴安岭市振兴路57号,6210433008541850169,集友银行,1,借记卡,11098126,8071,2011-04-11,22:19:02
